fill	y	x	showSelectedlegendfill	clickSelects	PANEL
#FF0000	0.2143177696402	1	rpart	1	1
#FF0000	0.0706289317409946	1	rpart	3	1
#FF0000	0.045718888750935	1	rpart	5	1
#FF0000	0.240092589475104	2	rpart	7	1
#FF0000	0.0576144032562084	2	rpart	9	1
#FF0000	0.0109793460169289	2	rpart	11	1
#FF0000	0.274681409118359	3	rpart	13	1
#FF0000	0.153902330948121	3	rpart	15	1
#FF0000	0.0828805794165276	3	rpart	17	1
#0000FF	0.476330601879191	1	featureless	1	1
#0000FF	0.412529872067724	1	featureless	3	1
#0000FF	0.309537601853079	1	featureless	5	1
#0000FF	0.480010441608571	2	featureless	7	1
#0000FF	0.412439294847025	2	featureless	9	1
#0000FF	0.309433964165447	2	featureless	11	1
#0000FF	0.473491930348407	3	featureless	13	1
#0000FF	0.412644359307271	3	featureless	15	1
#0000FF	0.309641885215838	3	featureless	17	1
#FF0000	0.116823513877275	1	rpart	2	2
#FF0000	0.144834108542458	1	rpart	4	2
#FF0000	-0.0324709800403724	1	rpart	6	2
#FF0000	0.167081898559703	2	rpart	8	2
#FF0000	0.136936589603905	2	rpart	10	2
#FF0000	0.0098521626725717	2	rpart	12	2
#FF0000	0.156004428978794	3	rpart	14	2
#FF0000	0.178880574394039	3	rpart	16	2
#FF0000	0.0141160272094551	3	rpart	18	2
#0000FF	0.339798738493759	1	featureless	2	2
#0000FF	0.273745957095115	1	featureless	4	2
#0000FF	0.454111361871588	1	featureless	6	2
#0000FF	0.333190203485519	2	featureless	8	2
#0000FF	0.273401166238335	2	featureless	10	2
#0000FF	0.454220548679739	2	featureless	12	2
#0000FF	0.347474991960616	3	featureless	14	2
#0000FF	0.274123393562444	3	featureless	16	2
#0000FF	0.454002628415861	3	featureless	18	2
#FF0000	1.79047076620848	1	rpart	1	3
#FF0000	1.60811054215759	1	rpart	3	3
#FF0000	1.47118617792993	1	rpart	5	3
#FF0000	2.16922679788691	2	rpart	7	3
#FF0000	2.10639610388143	2	rpart	9	3
#FF0000	2.06224812984313	2	rpart	11	3
#FF0000	0.0177859026311875	3	rpart	13	3
#FF0000	0.249879697455366	3	rpart	15	3
#FF0000	0.137812757396631	3	rpart	17	3
#0000FF	1.60633705576044	1	featureless	1	3
#0000FF	1.5020183790666	1	featureless	3	3
#0000FF	1.49165787685832	1	featureless	5	3
#0000FF	2.14680493253269	2	featureless	7	3
#0000FF	2.09469319291012	2	featureless	9	3
#0000FF	2.10009059822894	2	featureless	11	3
#0000FF	0.440181461486063	3	featureless	13	3
#0000FF	0.374616918278777	3	featureless	15	3
#0000FF	0.379731409043847	3	featureless	17	3
#FF0000	1.54633756808406	1	rpart	2	4
#FF0000	1.68278244725357	1	rpart	4	4
#FF0000	1.55492043405645	1	rpart	6	4
#FF0000	2.13250570666556	2	rpart	8	4
#FF0000	2.17217351339904	2	rpart	10	4
#FF0000	2.10674069158399	2	rpart	12	4
#FF0000	0.31569752149114	3	rpart	14	4
#FF0000	0.110474665152975	3	rpart	16	4
#FF0000	-0.0940918609085829	3	rpart	18	4
#0000FF	1.51456107901346	1	featureless	2	4
#0000FF	1.5864108833179	1	featureless	4	4
#0000FF	1.50880661429352	1	featureless	6	4
#0000FF	2.09502207688408	2	featureless	8	4
#0000FF	2.13861412486689	2	featureless	10	4
#0000FF	2.11031893862051	2	featureless	12	4
#0000FF	0.495019269532283	3	featureless	14	4
#0000FF	0.441333279591354	3	featureless	16	4
#0000FF	0.277700529449111	3	featureless	18	4
